series_description,frequency,cleaned_series_names,comment,,,,Index
tfi_psir_single-shot_5sl_iPAT_PSIR,2,LGE_SAX,,,,,
DE_overview_LAX_4Ch_2Ch_3Ch_MAG,2,LGE_LAX,,,,,
VIAB_PSIR_FB_CZ_SA,2,LGE_SAX,,,,,
tf2d16_radial_dist_dif_ao,2,,,,,,
QF_Pulm-300,2,,,,,,
tirm_15_db_t2_TI100,2,,,,,,
tfi_single-shot_(MET_'SCAN')_3chv,2,,,,,,
cine_2_kmr_rechts,2,,,,,,
trufi_loc_tra,2,,,,,,
trufi_loc_tra_iP_bh,2,,,,,,
DE_high-res_tfl20_psir_seg_MAG,2,LGE_SAX,,,,,
tfi_single-shot_(MET_'SCAN')_4chv,2,,,,,,
DE_overview_LAX_3Ch_2Ch_4Ch_MAG,2,LGE_LAX,,,,,
tfl2d_25_t1_2cycles_3cv,2,,,,,,
tfl2d_25_t1_DHE_3CH,2,,,,,,
LCE_2_CHAMBER,2,,,,,,
VIAB_PSIR_LA,2,,,,,,
TI-Scout_2-cycle,2,,,,,,
AMC_HART___BTFE_rvot,2,,,,,,
lge_seg_4_kmr_MAG,2,LGE_4CH,,,,,
tfl2d_25_t1_DHE(BREATH-HELD)-4,2,,,,,,
Dynamic_Pefusie__Test_2Ch_MOCO,2,,,,,,
R2CH_1_SLICE,2,,,,,,
Synthetic_LE_12_min_post_ECV_SYNTH,2,,,,,,
Synthetic_LE_12_min_post_ECV_BLOODMASK,2,,,,,,
T2_STIR_BB_3CH,2,,,,,,
tfi_psir_single-shot_10sl_oud_PSIR_PSIR,2,LGE_SAX,,,,,
tfl2d_25_t1_DHE(B-H)_2ch,2,,,,,,
Dynamic_STRESS-doorademen_SAX_b2s_MOCO,2,,,,,,
tfl2d_25_t1_DHE4_CH,2,,,,,,
s3D_PSIR-TFE_BH_16sl,2,LGE_SAX,,,,,
tfi_psir_single-shot_10sl_oud_PSIR_MAG,2,LGE_SAX,,,,,
tfl2d_25_t1_3_CH,2,,,,,,
fl4_150_flow-aorta_diaf_P,2,,,,,,
t2_tse_tra,2,,,,,,
sBTFE_PA_SAG,2,,,,,,
tf2d15_retro_4kamer,2,,,,,,
LOOKLOCKER_CLEAR,2,,,,,,
FS_T2TSE_User1,2,,,,,,
cine_4_kmr,2,,,,,,
tirm_15_db__2ch,2,,,,,,
tse_11_db_cor_mbh,2,,,,,,
FLASH_SA_CINE_1_sl,2,,,,,,
FLOW_venc150_through_plane_VCI,2,,,,,,
IR_SA_BH300_CLEAR,2,,,,,,
three_chamber_delayed_PSIR,2,LGE_3CH,,,,,
tfl2d_25_t1_TI350,2,,,,,,
BTFE-LA-REST,2,,,,,,
BH_Cine_aov,2,,,,,,
fl3d_nav_ir_nonBH_4ch,2,,,,,,
tfl20_t1_late_enh_rvot_PSIR,2,,,,,,
sBTFE_3_kamer,2,,,,,,
Dynamic_Pefusie__Test_3Ch_MOCO,2,,,,,,
fl4_350_flow_aorta,2,,,,,,
temp_sa,2,,,,,,
T1-TSE-BB-SA_niet_bij_fabry,2,,,,,,
tfi_single-shot_(_PSIR,2,LGE_SAX,,,,,
flow_180_Throug_Plane_AorticValve,2,,,,,,
tse_5_t1_psa_15sl_3av,2,,,,,,
tfi_psir_single-shot_PSIR,2,LGE_SAX,,,,,
flow_150_tp_retro_bh_ePAT@c_AORTA_MAG,2,,,,,,
BTFE_BH,2,,,,,,
tfl2d_25_2_cycles_2CV_TI550_PSIR,2,LGE_2CH,,,,,
tfl_psir_3C_(1SL)_PSIR,2,LGE_3CH,,,,,
___________TRA_HR_FS_S,2,,,,,,
HEBE_______VIAB300,2,,,,,,
ShMOLLI_natief_korte_as,2,,,,,,
TFE_Ao.valve,2,,,,,,
lge_seg_4_kmr_PSIR,2,LGE_4CH,,,,,
T1Map_6_SLICES__dist_fact_aanpassen_User1_MOCO_T1,2,,,,,,
tfl25_t1_psir_3ch_MAG,2,LGE_3CH,,,,,
flow_150_tp_retro_bh_ePAT@c_AORTA,2,,,,,,
TFE_SVC,2,,,,,,
tfi65_t1_3D_iPAT__2_slabs_2_ch,2,,,,,,
DE_High-Res_4ch_4Ch_MAG,2,LGE_4CH,,,,,
SURVEY_1__HE3,2,,,,,,
Trufi_Cine_Pulm_Cor_Aorta_Coronaal,2,,,,,,
Dynamic_STRESS-doorademen_SAX_b1s_MOCO,2,,,,,,
CINE_segmented_LAX*_2Ch,2,,,,,,
tf2d15_retro_AORTA_COR,2,,,,,,
lge_single_shot_korte_as_psir_3_PSIR,2,LGE_SAX,,,,,
DB_T2TSE_SAXs,2,,,,,,
Trufi_Cineprospectief_SAX_b2,2,,,,,,
hart-Groenink_PRE-CONTRAST,2,,,,,,
CV_postcontrast_hybridmolli_4ch_NIET_copy_everything_v.pre,2,,,,,,
flow_180_Throug_Plane_AorticValve_P,2,,,,,,
IR_TFE_4_CH,2,,,,,,
QF_TRI_100,2,,,,,,
tfl2d_25_t1_DHE2_ch,2,,,,,,
sBTFE_BH_SA_voor_contrast,2,,,,,,
mIP_Images(SW),2,,,,,,
lge_single-shot_korte_assen_MAG,2,LGE_SAX,,,,,
DE_overview_LAX_2Ch_4Ch_3Ch_MAG,2,LGE_LAX,,,,,
LCE_SHORT_AXES,2,,,,,,
CINE_segmented_LAX*_3Ch,2,,,,,,
tfi65_t1_3D_iPAT_3_slabs_SA,2,,,,,,
Plan__SAX,2,,,,,,
LEFT_AORTIC_TRACT,2,,,,,,
2C_SENSE,2,,,,,,
CINE__LA_RV,2,,,,,,
Trufi_Cine_prospectief_SAX_InlineVF,2,,,,,,
MRA_LONGVENMIP_3D_PREP,2,,,,,,
FIESTA-LVOT,2,,,,,,
DE_seg_high-res_LAX_4Ch_3Ch_2Ch_MAG,2,LGE_LAX,,,,,
tfl2d_25_t1_DHE(BREATH-HELD)_sa,2,,,,,,
tfi_single-shot_(MET_'SCAN')_2chv,2,,,,,,
Trufi_Cine_B4_SAX_b4,2,,,,,,
FLOW_venc150_through_plane_VCI_P,2,,,,,,
MRA_LONGVEN3D_PREP,2,,,,,,
tse_11_db_t1_iPAT-SA_ima_5,2,,,,,,
tfi_psir_single-shot_1slC_4_kmr_MAG,2,LGE_4CH,,,,,
sBTFE_Re_lange_as,2,,,,,,
BTFE__4CH,2,,,,,,
LE_SAX_MAG,2,LGE_SAX,,,,,
tf2d15_retro_iPAT-2ch-LI_25ph,2,,,,,,
mpr_tra_2mm_PA,2,,,,,,
T1Map_6_SLICES__dist_fact_aanpassen_User1_MOCO,2,,,,,,
haste__tra_db_2bh_iPAT-TRA,2,,,,,,
RVOT_1_SLICE,2,,,,,,
art_pul_sag_RVOT,2,,,,,,
two_chamber_delayed_MAG,2,LGE_2CH,,,,,
tfi_single-shot_SA_doorademen_MAG,2,LGE_SAX,,,,,
trufi_TRA_GROTE_VATEN,2,,,,,,
PD_TSE_BB_CLEAR,2,,,,,,
DE_seg_high-res_LAX_4Ch_3Ch_2Ch_PSIR,2,LGE_LAX,,,,,
FLOW_venc150_through_plane_Aorta_P,2,,,,,,
TEMP_SA_2_BH,2,,,,,,
4chamber_axis_delayed_ecg_exp_MAG,2,LGE_4CH,,,,,
SA_TEMP,2,,,,,,
sBTFE_BH_AORTA_COR,2,,,,,,
tfi_single-shot_4_CH,2,,,,,,
PERF_test,2,,,,,,
CINE_segmented_LAX*_4Ch,2,,,,,,
sBTFE_BH_SA_aorta_in_shilbox,2,,,,,,
DE_seg_high-res_LAX_3Ch_2Ch_4Ch_MAG,2,LGE_LAX,,,,,
sBTFE_4_kamer,2,,,,,,
tfi_single-shot_(4CHV)_230,2,,,,,,
T1Map_ShortT1_6_SLICES__overnemen_met_meas_par._blanco_T1_map,2,,,,,,
MRA_LONGVEN3D_angio,2,,,,,,
sdixon_water,2,,,,,,
FLOW_tp_retro_bh_@c,2,,x,,,,
Trufi_Cineprospectief_SAX_b3,2,,,,,,
CINE_segmented_SAX_b13,2,,,,,,
tf2d15_retro_iPAT-AO-SA,2,,,,,,
fl4_350_flow_aorta_P,2,,,,,,
TRUFI_4chv_CINE_TRIGGER,2,,,,,,
T2__SPAIR_2CH_BORE,2,,,,,,
Perfusion__VIAB_BH,2,,,,,,
QF_SV_BUFFLE-75,2,,,,,,
tfl20_t1_psir_segmented_2_kmr_MAG,2,LGE_2CH,,,,,
DE_2kamer_ecg_exp_PSIR,2,LGE_2CH,,,,,
tfi_single-shot_(MET_'SCAN')_4CH,2,,,,,,
CINE_segmented_SAX_b14,2,,,,,,
___________SAG_RVOT_PA,2,,,,,,
CINE_4_CHAMBER,2,,,,,,
tfi_single-shot_(sa),2,,,,,,
DE_overview_3Ch_SAX_2Ch_4Ch_MAG,2,LGE_SAX_LAX,,,,,
sBTFE_LVOT,2,,,,,,
Function___QFLOW_BH,2,,,,,,
PSIR_TFE_BH_4CH,2,LGE_4CH,,,,,
LE_SAX_PSIR,2,LGE_SAX,,,,,
tfl2d_25_2_cycles_SAx-_hoog_TI_MAG,2,LGE_SAX,,,,,
___________QFLOW_TRICU,2,,,,,,
tfl2d_25_t1_DHE_2CH,2,,,,,,
Synthetic_LE_12_min_post_ECV_T1_PRE_MOCO,2,,,,,,
tf2d_rt_1slice_radial,2,,,,,,
DE_seg_high-res_SAX_PSIR,2,LGE_SAX,,,,,
ARVD_______VIABILITY350,2,,,,,,
four_chamber_delayed_PSIR,2,LGE_4CH,,,,,
Aorta_3D_SSFP,2,,,,,,
tfi_single-shot_270,2,,,,,,
tfl2d_25_t1_DHE(BREATH-HELD)_4CH,2,,,,,,
Dynamic_Pefusie__Test_2Ch,2,,,,,,
T2_STIR_BB_L2CH,2,,,,,,
LGE_seg_3_kmr_LAX_PSIR,2,LGE_3ch,,,,,
lge_seg_sax_2Ch_MAG,2,LGE_SAX,,,,,
PSIR_TFE_BH_SA,2,LGE_SAX,,,,,
TI_scout_2cycles,2,,X,,,,
VELOCITY_ENCODING_Venc_afh._van_scout_P,2,,,,,,
DE_overview_LAX_3Ch_2Ch_4Ch_PSIR,2,LGE_LAX,,,,,
tfl2d_25_t1-3ch-_DHE(BREATH-HELD)-3ch,2,,,,,,
tfl_psir_3C_(1SL)_MAG,2,LGE_3CH,,,,,
tf2d15_retro_lvot,2,,,,,,
lge_single_shot_korte_as_psir_3_MAG,2,LGE_SAX,,,,,
FLOW_venc150_through_plane_Pulm_Art,2,,,,,,
fl4_150_flow-aorta_diaf,2,,,,,,
flow_180_Throug_Plane_AorticValve_MAG,2,,,,,,
2D_Delayed_300,2,,,,,,
3D_PREP,2,,,,,,
trufi_4kamer_cine_iP_bh,2,,,,,,
tfi_single-shot_(MET_'SCAN')_4ch,2,,,,,,
DE_overview_LAX_2Ch_4Ch_3Ch_PSIR,2,LGE_LAX,,,,,
BTFE-SA-REST,2,,,,,,
Perfusion__BTFE_ssmp,2,,,,,,
DE_seg_high-res_SAXs_PSIR,2,LGE_SAX,,,,,
DE_overview_3Ch_SAX_2Ch_4Ch_PSIR,2,LGE_SAX_LAX,,,,,
Synthetic_LE_12_min_post_ECV_T1_POST_MOCO,2,,,,,,
BTFE__3CH_LT,2,,,,,,
LCE_4_CHAMBER,2,,,,,,
_ShortT1_6_SLICES__overnemen_met_meas_par._blanco_T1_map_MOCO_T1,2,,,,,,
LE_PSIR_LVOT_NIEUW_PSIR,2,,,,,,
tfi_single-shot_(MET_'SCAN')_2,2,,,,,,
sdixon_vet,2,,,,,,
Dynamic_STRESS-doorademen_SAX_b2s,2,,,,,,
DE_High-Res_LAX_TI_400_User1_MAG,2,LGE_LAX,,,,,
HEBE_______VIAB350,2,,,,,,
AMC_HART___QFLOW_tri,2,,,,,,
FLOW_venc150_through_plane_Pulm_Art_P,2,,,,,,
LGE_seg_3_kmr_LAX_MAG,2,LGE_LAX,,,,,
tf2d15_cine_rv,2,,,,,,
tse_11_db_t1_iPAT-SA_beeld_3,2,,,,,,
cine_tf2d13_TPAT2_4,2,,,,,,
mDixon_XD_WH_nav,2,,,,,,
tfi_single-shot_(3CHV)_3Ch,2,,,,,,
Double_IR_T1,2,,,,,,
Heart_morphology_scout,2,,,,,,
T2_STIR_BB_4CH,2,,,,,,
Dynamic_Rust_Perfusie_doorademen_4Ch_MOCO,2,,,,,,
Trufi_Cine_SAX_InlineVF,2,,,,,,
Interact_2,2,,,,,,
tfi_single-shot_(MET_'SCAN')_SA,2,,,,,,
Gre_Cine_LAX_SA_InlineVF,2,,,,,,
LGE_seg_4_kmr_LAX_PSIR,2,LGE_4CH,,,,,
PSIR_TFE_BH_3CH,2,LGE_3CH,,,,,
DE_overview_4Ch_3Ch_2Ch_SAX_MAG,2,LGE_SAX_LAX,,,,,
Cine_korte_as,2,,,,,,
sdixon_out_of_phase,2,,,,,,
BTFE-LA1,2,,,,,,
VIABIL._TRA,2,,,,,,
tfi_psir_single-shot_5sl_iPAT_MAG,2,LGE_SAX,,,,,
ARVD_______VIABILITY550,1,,,,,,
fl4_200_flow-asc-aorta_P,1,,,,,,
2D_FAST_PHASE_CONTRAST,1,,,,,,
tfi_psir_single-shot_10slC_MAG,1,LGE_SAX,,,,,
Viab_3D_4k,1,,,,,,
EF_20%,1,,,,,,
cor_exp_tfi,1,,,,,,
LE_Kortademig_2CH_STACK*_2ChStack_MAG,1,LGE_2CH,,,,,
fl4_150_tp_retro_mi_iPAT@c_P,1,,,,,,
MAG_3ch_PS_MDE,1,LGE_3CH,,,,,
cine_tf2d22_4,1,,,,,,
lge_single_shot_korte_as_psir_4_PSIR,1,LGE_SAX,,,,,
trufi_15sl_COR,1,,X,,,,
T2w_STIR_BB,1,,,,,,
tf2d_rt_REAL_TIME_(2CHV),1,,,,,,
DE_High-Res_LAX_3ch_3Ch_PSIR,1,LGE_3CH,,,,,
T2W_BTFE_BH,1,,,,,,
T2Prep_2D_1Slice_8Meas_iPAT_T2_MAG,1,,X,,,,
tfl20_t1_psir_segmented_3_kmr_PSIR,1,LGE_3CH,,,,,
tf2d3_retro-25ph-2chv,1,,,,,,
DE_High-Res_2ch_2Ch_MAG,1,LGE_2CH,,,,,
LE_2CH_STACK_2Ch_PSIR,1,LGE_2CH,,,,,
fl4_150_,1,,,,,,
TRANSV_ANATOMIE,1,,,,,,
SA_4_functie,1,,,,,,
SAX_Cine_FIESTA,1,,,,,,
T2w_BB_2_BH__HE4,1,,,,,,
FS_Haste_LAX_2Ch_3Ch_4Ch,1,,,,,,
tf25_t1_rephased,1,,,,,,
tf2d15_retro_3ch,1,,,,,,
tse_11_db_t1_iPAT_tra,1,,,,,,
tfl2d_25_t1_DHE_(BH)_3ch,1,,,,,,
tf2d15_retro_iPAT_rk,1,,,,,,
ejectiefractie_52%,1,,,,,,
DE_high-res_tfl13_seg_SPAIR_iPAT_MAG_hbw,1,LGE_SAX,,,,,
tfi24_t2prep_spair_SA,1,,,,,,
post_MOLLI_4(1)3(1)2_256_BASE_MOCO_T1,1,,,,,,
IR_TFE_2D-TI280,1,,,,,,
Perfusion__VIAB_340_3CH,1,,,,,,
LL_2BEATS_1_MIN_VROEG,1,,,,,,
cine_segmented_sax_b1,1,SAX,,,,,
localizer_multi,1,,X,,,,
Line-Tag_Cine_dist_135__graden_User2,1,,,,,,
sagittal_cine_User3,1,,,,,,
sBTFE_4k,1,,,,,,
BTFE-LA-1,1,,,,,,
tfi_single-shot_(MET_'SCAN')sa,1,,,,,,
ph4_SUB_TRICKS_MRA_ASSET_3CC_start_scan_after_3sec,1,,,,,,
B-TFE_BH_2CHV,1,,,,,,
DE_High-Res_SAX_b8_SAX_b7_MAG,1,LGE_SAX,,,,,
tfi_single-shot__2ch,1,,,,,,
sSlice_15,1,,,,,,
___________AX_T1_BB_CL,1,,,,,,
tf2d15_retro_iPAT-3CH,1,,,,,,
cine_tf2d13_TPAT2_3,1,,,,,,
tfl20_t1_late_enh_3_kamer_10MIN_MAG,1,LGE_3CH,,,,,
LOLO_2beats,1,,,,,,
Trufi_Cine_B5_SAX_b1,1,,,,,,
TI-Scout_2Ch,1,,,,,,
aow_cor_chamber_cine,1,,,,,,
FALLOT_PROT3D_ANGIO,1,,,,,,
SA_13_LE_PSIR,1,LGE_SAX,,,,,
sBTFE__2k_li_1,1,,,,,,
2D_SAX_PSIR_VIABILITY_LAAT,1,LGE_SAX,,,,,
CINE_realtime_SAX_InlineVF,1,,,,,,
FLASH_CINE_ax,1,,,,,,
tf2d_rt_REAL_TIME_(4_CHV),1,,,,,,
FALLOT_PROTQFLOW_MITR,1,,,,,,
cine_tf2d22_2,1,,,,,,
SA_11_LE_PSIR,1,LGE_SAX,,,,,
e.fractie,1,,,,,,
tfl20_t1_psir_segmented_2_PSIR,1,LGE_SAX,,,,,
LE_Kortademig_2CH_STACK*_2ChStack_PSIR,1,LGE_2CH,,,,,
TI_SCOUT_sa,1,,,,,,
EF_59.6_%,1,,,,,,
LGE_SS_4_kmr_LAX_PSIR,1,LGE_4CH,,,,,
flow_250_tp_retro_bh_ePAT@c_MAG,1,,,,,,
post_MOLLI_4(1)3(1)2_256,1,,,,,,
Trufi_Cine_B12_SAX_b12,1,,,,,,
tfl_psir_4C_600TI_PSIR,1,,,,,,
LE_Kortademig_4CH_STACK*_4ChStack_MAG,1,LGE_4CH,,,,,
"EF_28,8%",1,,,,,,
SUB_S24-S22_1,1,,,,,,
T1_BB_tra_Spir_leiderdorp,1,,,,,,
FALLOT_PROTAX_PD_BB,1,,,,,,
4CH_LE_MAG,1,LGE_4CH,,,,,
Cine_4_KAMER_OP_KORTE_AS,1,,,,,,
BTFE-SA-3,1,,,,,,
Trufi_Cine_2ch_3Ch,1,,,,,,
Dynamic_doorademen_SAX_b1s,1,SAX,,,,,
2CH_functie,1,,,,,,
flow_150_tp_retro_bh_ePAT@c_P,1,,,,,,
HEBE_______VIAB325,1,,,,,,
tf2d15_retro_AO,1,,,,,,
tfi_single-shot_14_slices_2ch_TI_250,1,,,,,,
late_enhancement_PSIR,1,LGE_SAX,,,,,
fl4_150_flow_P,1,,,,,,
T2_3pt_TRUFI_192i_BASE_MOCO_T2,1,,,,,,
MAG_2ch_PS_MDE,1,LGE_2CH,,,,,
SURVEY_doorademen,1,,,,,,
Trufi_Cine_doorademen_SAX_b1,1,SAX,,,,,
FALLOT_PROTINTERACT,1,,,,,,
Cine_KORTE_AS_BASIS,1,,,,,,
WIP_mDixon_XD_aorta_diastole,1,,,,,,
tfl2d_25_t1_DHE4_ch,1,,,,,,
eSA_CLEAR,1,,,,,,
fl4_300-flow-arteria_pulm-_P,1,,,,,,
MIP_A.PULM_FH,1,,,,,,
cine_2_kmr_cardio,1,,,,,,
TRUFI_PSIR_4CH_MAG,1,LGE_4CH,,,,,
ARVD_______VIABILITY600,1,,,,,,
flow_150_Throug_Plane-in_klep_AorticValve_MAG,1,,,,,,
tfi_single-shot_14_slices_3_ch_250,1,,,,,,
HEBE_______cine_surv_2k,1,,,,,,
DYN_sTFE_RUST,1,,,,,,
VIAB_PSIR_R2CH,1,LGE_SAX,,,,,
CORO_ANATOMIE,1,,,,,,
DE_High-Res_280_SAX_MAG,1,LGE_SAX,,,,,
AX_SHARP_POST,1,,,,,,
SUBTR_A.PULM,1,,,,,,
Dynamic_Perfusie_stress_doorademen_SAX_b3s,1,,,,,,
tfi_single-shot_(SA)_290,1,,,,,,
HEBE_______VIABILITY350,1,,,,,,
s3D_IR-TFE_BH_20sl,1,,,,,,
Funct_Aortic_Valve,1,,,,,,
BTFE-SA2,1,,,,,,
DB_Haste_SAXs,1,,,,,,
DE_overview_LE_4Ch_SAX_3Ch_2Ch_MAG,1,LGE_SAX_LAX,,,,,
DE_High-Res_SAX_b8_MAG,1,LGE_SAX,,,,,
tfl20_t1_psir_segmented_4_MAG,1,LGE_SAX,,,,,
pre_T1_native_rest_MOCO,1,,,,,,
Trufi_Cineprospectief_SAX_b8,1,,,,,,
HEBE_______VIABILITY200,1,,,,,,
tfl20_t1_psir_segmented_2_MAG,1,LGE_SAX,,,,,
SA_3_LE_MAG,1,LGE_SAX,,,,,
FLOW_venc150_through_plane_VCS,1,,,,,,
T1_TSE_BB_KM,1,,,,,,
3ch_CINE,1,,,,,,
trufi_cine_4C_small_fov,1,,,,,,
SURVEY_LUMBAAL,1,,,,,,
2D_SAX_PSIR_VIABILITY_VROEG,1,LGE_SAX,,,,,
SUB_S51-S49_1,1,,,,,,
FIRST_PASS,1,,,,,,
sBTFE__ka,1,,,,,,
trufi_15sl_AX,1,,check: like trufi SAX but horizontal slices,,,,
3Plane_FIESTA_LOC,1,,,,,,
SURVEY_exp,1,,,,,,
AX_TRUFI,1,,,,,,
angio_fl3d_sag_p3_post_SUB_MIP_COR,1,,,,,,
BTFE-SA-1,1,,,,,,
angio_fl3d_cor_p3_post_arterial,1,,,,,,
DE_overview_7-9_min_SAX_2Ch_4Ch_MAG,1,LGE_SAX_LAX,,,,,
B-TFE_M2D_RV_SENSE,1,,,,,,
"DE_high-res,__LVOT_RVOT_PSIR",1,,,,,,
tfi_psir_single-shot_10sl_iPAT_3ch_PSIR,1,LGE_3CH,,,,,
AX_SHARP,1,,,,,,
DE_overview_4Ch_2Ch_3Ch_MAG,1,LGE_LAX,,,,,
Trufi_Cine_4Ch,1,,,,,,
mra_aorta__MIP_3D_angio,1,,,,,,
mra_aorta__3D_angio,1,,,,,,
tfl25_t1_psir_4ch_PSIR,1,LGE_4CH,,,,,
WATER__Ax_LAVA-Flex_Pre,1,,,,,,
DE_overview_LE_SAX_4Ch_3Ch_2Ch_PSIR,1,LGE_SAX_LAX,,,,,
tfl2d_25_t1_DHE_4CH,1,,,,,,
tfl20_t1_psir_segmented_4_kmr_MAG,1,,,,,,
T1Map_ShortT1_2Ch_MOCO_T1,1,,,,,,
lge_2_cycles_2CH_PSIR,1,LGE_2CH,,,,,
sDyn_slice_4,1,,,,,,
AMC_HART___BTFE_2ch,1,,,,,,
tfi_psir_single-shot_10sl_iPAT_TI_270_MAG,1,LGE_SAX,,,,,
lge_2_cycles_2CH_MAG,1,LGE_2CH,,,,,
tfi_single-shot_14_slices_2ch_350,1,,,,,,
tfi_single-shot_LA_ti450_PSIR,1,,,,,,
post_MOLLI_4(1)3(1)2_256_MOCO_SPSIR,1,,,,,,
loc_2-chamber,1,,X,,,,
pre_MOLLI_5(3)3_256_BASE_MOCO_T1S,1,,,,,,
s3D_PSIR-2CH_LI_SENSE,1,,,,,,
tfl2d_25_t1_DHE(BREATH-HELD)-sa,1,,,,,,
2Ch_RV_FIESTA_CINE,1,,,,,,
OUT_RV_2D_MDE,1,,,,,,
HEBE_______cine_surv_sa,1,,,,,,
flow_300_tp_retro_bh_ePAT@c_MAG,1,,,,,,
axial_delayed_PSIR,1,,,,,,
T1Map_subset_SAXs_MOCO_T1,1,,,,,,
tfl2d_25_t1_DHE(BREATH-HELD)-la_4ch,1,,,,,,
tfl2d_25_t1_DHE_4CHV,1,,,,,,
tf2d15_retro_iPAT_3,1,,,,,,
"single_shot_TI_-korte_as,_doorademen_PSIR",1,,,,,,
TI-Scout_2-Cycle,1,,X,,,,
BTFE-SA-4,1,,,,,,
tfi_psir_single-shot_10sl_iPAT_3ch_MAG,1,LGE_3CH,,,,,
gre_8echos_heart_ipat,1,,,,,,
tirm_15__3_CH,1,,,,,,
fl4_200_ip_retro_bh_iPAT@c_P,1,,,,,,
Aortic.valve_venc_300,1,,,,,,
T1Map_SAX_transversaal_door_milt_MOCO_T1,1,,,,,,
CZ_RV_IT_OT,1,,,,,,
pre_MOLLI_5(3)3_256_BASE_MOCO_T1,1,,,,,,
Scout-3plane,1,,,,,,
fl4_250-flow-ao-vsd_P,1,,,,,,
t1_db_korte_as_10_sl_trig1,1,,,,,,
tfl2d_25_t1_DHE-bh_4ch,1,,,,,,
trufi_15sl_SAG,1,,X,,,,
DE_High-Res_TI_400_User2_MAG,1,LGE_SAX,,,,,
contrast_toedienen,1,,,,,,
TRUFI_aorta,1,,,,,,
fl4_100_sup-BAFFLE-FH,1,,,,,,
fl4_150-flow-AORTA,1,,,,,,
Funct_4_CH_Fiesta,1,,,,,,
3CH_SSMP,1,,,,,,
PD_BB_TRA_S,1,,,,,,
BTFE_2CH_R,1,,,,,,
WATER__Ax_LAVA-Flex_Post,1,,,,,,
Option_1,1,,,,,,
haste_SA_db_2bh_iPAT,1,,,,,,
VIAB.R2CH,1,,,,,,
OPT_axial_db_t2_fatsat_4,1,,,,,,
cine_tf2d18_r_bh_arryth,1,,,,,,
AMC_HART___QFLOW_pulm,1,,,,,,
BBTSE-hires,1,,,,,,
FS_T2TSE_LAX_2Ch_4Ch_3Ch,1,,,,,,
cine_2_shots_LAX_3Ch,1,,,,,,
post_MOLLI_4(1)3(1)2_256_BASE_MOCO_SMAGIR,1,,,,,,
DE_overview_MAG,1,LGE_SAX,,,,,
tfi_single-shot_(MET_'SCAN')__3ch_220,1,,,,,,
SA_15_functie,1,,,,,,
DE_High-Res_SAX_b3_PSIR,1,LGE_SAX,,,,,
HEBE_______VIAB500,1,,,,,,
tfi_single-shot_2_CH,1,,,,,,
fl4_250_aorta,1,,,,,,
DE_High-Res_LAX_TI=400_3Ch_4Ch_2Ch_MAG,1,LGE_LAX,,,,,
LGE_seg_LAX_MAG,1,LGE_LAX,,,,,
sSlice_1,1,,,,,,
BTFE-LA-4,1,,,,,,
localiser_sag_exp_tfi,1,,,,,,
fl4_150-flow-arteria_pulm_P,1,,,,,,
QF_AO-KLEP,1,,,,,,
cine_segmented_sax_b9,1,SAX,,,,,
t1_db_korte_as_8_sl_trig1,1,,,,,,
MIPRL,1,,,,,,
SA_op_dubb_obl_LA,1,,,,,,
T1Map_na_3_min_SAXs_MOCO,1,,,,,,
T2Prep_2D_1Slice_8Meas_iPAT_T2_MAG_Avg,1,,X,,,,
fl4_400_flow_aorta_P,1,,,,,,
tfi_single-shot_4CH_ti400_MAG,1,LGE_4CH,,,,,
LGE_SS_4_kmr_LAX_MAG,1,LGE_LAX,,,,,
s3DVIA-PSIR_2ka_li,1,,,,,,
tfi_single-shot_doorademen_SA_250,1,,,,,,
DE_High-Res_2ch_ti=400_2Ch_PSIR,1,LGE_2CH,,,,,
T2_TSE_BB_5_slices,1,,,,,,
Aortic.valve_venc_400,1,,,,,,
Trufi_Cine_Realtime_SAX_b4,1,,,,,,
CINE_Breathold*_SAX,1,,,,,,
FLOW_venc250_through_plane_Pulm_Art_P,1,,,,,,
CINE_Kortademig*_SAX,1,SAX,,,,,
cine_2_shots_LAX_2Ch,1,,,,,,
"Flash_Cine_in_fase_4ch__BW_400_TE_4,76_3Ch",1,,,,,,
tfi_single-shot_(4CHV)_4Ch,1,,,,,,
CINE_realtime_SAX_b3,1,,,,,,
LE_PSIR_SA_3ST,1,LGE_SAX,,,,,
T2_3pt_3recovHB_gre_korte_as_MOCO,1,,,,,,
Dynamic_Rust_Perfusie_doorademen_3Ch,1,,,,,,
angio_fl3d_sag_p3_post_SUB,1,,,,,,
tse_11_db_t1_iPAT-SA_beeld_9,1,,,,,,
tse_17_db_t2_iPAT_SA,1,,,,,,
flow_200_Throug_Plane_AorticValve_P,1,,,,,,
tfl2d_25_t1_2_ch,1,,,,,,
sBTFE-SA,1,,,,,,
fl4_75_flow_tricusp,1,,,,,,
Funct_4_chamber,1,,,,,,
IR_TFE_2D-TI300,1,,,,,,
Synthetic_LE_5_min__MOCO_SPSIR,1,,,,,,
Trufi_Cine_b12_SAX_b12,1,,,,,,
STIR_DB_APEX,1,,,,,,
fl4_150_flow_tricusp_P,1,,,,,,
SA_13_functie,1,,,,,,
T1_BB_tra__4mm,1,,,,,,
MAG_SA_Stack_PS_MDE,1,,,,,,
DE_overview_LE_SAX_2Ch_4Ch_3Ch_PSIR,1,LGE_SAX_LAX,,,,,
4_chamber_cine,1,,,,,,
